Designator,Mid X,Mid Y,Rotation,Layer
C3,81.55,-90.2,270.0,top
C4,75.819,-108.14,90.0,top
C5,72.87,-114.44,0.0,top
C6,83.591,-68.7,0.0,top
C7,107.975,-68.7,180.0,top
C8,116.478,-111.63,270.0,top
D1,129.198,-131.242,90.0,top
J1,122.8,-133.275,270.0,top
R1,78.2,-90.185,270.0,top
R2,113.7285,-116.6495,90.0,top
R3,111.4425,-111.5695,270.0,top
SW1,134.438,-132.842,90.0,top
U1,84.353,-79.863,90.0,top
U2,80.0,-109.58,90.0,top
U3,125.250189,-87.3455,180.0,top
U4,85.167,-94.43,90.0,top
U5,77.9,-68.75,90.0,top
U7,73.425,-133.295,90.0,top
U9,120.373,-117.952,90.0,top
Z1,60.82,-99.28,270.0,top
